information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_43722~SEND~15min (15min.lt)~B-ID-153~IP-339~0~0~7~Sim4
InfoAct_id_43723~SEND~15min (15min.lt)~B-ID-167~IP-274~0~0~7~Sim4
InfoAct_id_43724~SEND~15min (15min.lt)~B-ID-167~IP-278~0~0~7~Sim4
InfoAct_id_43725~SEND~15min (15min.lt)~B-ID-167~IP-282~0~0~7~Sim4
InfoAct_id_43726~SEND~15min (15min.lt)~B-ID-167~IP-286~0~0~7~Sim4
InfoAct_id_43727~SEND~15min (15min.lt)~B-ID-167~IP-290~0~0~7~Sim4
InfoAct_id_43728~SEND~15min (15min.lt)~B-ID-167~IP-307~0~0~7~Sim4
InfoAct_id_43729~SEND~15min (15min.lt)~B-ID-167~IP-311~0~0~7~Sim4
InfoAct_id_43730~SEND~15min (15min.lt)~B-ID-167~IP-315~0~0~7~Sim4
InfoAct_id_43731~SEND~15min (15min.lt)~B-ID-167~IP-319~0~0~7~Sim4
InfoAct_id_43732~SEND~15min (15min.lt)~B-ID-167~IP-323~0~0~7~Sim4
InfoAct_id_43733~SEND~15min (15min.lt)~B-ID-167~IP-327~0~0~7~Sim4
InfoAct_id_43734~SEND~15min (15min.lt)~B-ID-167~IP-331~0~0~7~Sim4
InfoAct_id_43735~SEND~15min (15min.lt)~B-ID-167~IP-335~0~0~7~Sim4
InfoAct_id_43736~SEND~15min (15min.lt)~B-ID-167~IP-339~0~0~7~Sim4
InfoAct_id_43737~SEND~15min (15min.lt)~B-ID-207~IP-274~0~0~7~Sim4
InfoAct_id_43738~SEND~15min (15min.lt)~B-ID-207~IP-278~0~0~7~Sim4
InfoAct_id_43739~SEND~15min (15min.lt)~B-ID-207~IP-282~0~0~7~Sim4
InfoAct_id_43740~SEND~15min (15min.lt)~B-ID-207~IP-286~0~0~7~Sim4
InfoAct_id_43741~SEND~15min (15min.lt)~B-ID-207~IP-290~0~0~7~Sim4
InfoAct_id_43742~SEND~15min (15min.lt)~B-ID-207~IP-307~0~0~7~Sim4
InfoAct_id_43743~SEND~15min (15min.lt)~B-ID-207~IP-311~0~0~7~Sim4
InfoAct_id_43744~SEND~15min (15min.lt)~B-ID-207~IP-315~0~0~7~Sim4
